alt_allele	end_gene	end	start_gene	Segment_Mean	genes	Sample	start	chr	build	Num_Probes	start_exon	end_exon	ref_allele	Segment_Call
	DNAJB13	73960000		-0.407532	AP000860.2,CHCHD8,DNAJB13,MRPL48,PAAF1,PLEKHB1,RAB6A,RN7SKP243,RP11-456I15.2,RP11-707G14.1,RP11-707G14.3,RP11-707G14.8		73602001	chr11		320		2-		-
		73984000	DNAJB13	-0.532235	DNAJB13,RP11-167N4.2,UCP2		73960001	chr11		24	3+			-
	ARRB1	75282000		-0.567707	AP000560.3,AP000577.2,AP001372.2,ARRB1,C2CD3,CHRDL2,CTD-2562J17.2,CTD-2562J17.4,CTD-2562J17.5,CTD-2562J17.6,CTD-2562J17.7,CTD-2562J17.9,KCNE3,LIPT2,MIR4696,MIR548AL,NEU3,NPM1P50,OR2AT1P,OR2AT2P,OR2AT4,P4HA3,PGM2L1,POLD3,PPME1,RF00409,RN7SKP297,RN7SL239P,RNA5SP343,RNF169,RNU6-216P,RP11-147I3.1,RP11-158C6.4,RP11-167N4.4,RP11-167N4.5,RP11-632K5.2,RP11-632K5.3,RP11-632K5.5,RP11-691F15.1,RP11-702H23.2,RP11-702H23.3,RP11-702H23.4,RP11-702H23.6,RP11-864N7.1,RP11-864N7.2,RP11-864N7.4,RP11-864N7.6,SLCO2B1,SPCS2,TPBGL,UCP3,XRRA1		73984001	chr11		1208		5+		-
	ARRB1	75314000	ARRB1	-0.524325	ARRB1		75282001	chr11		31	5-	1+		-
	GDPD5	75439000	ARRB1	-0.499491	ARRB1,GDPD5,KLHL35,MIR326,RPS3,SNORD15A,SNORD15B		75314001	chr11		110	0-	15+		-
		75533000	GDPD5	-0.607835	GDPD5,RP11-939C17.4		75439001	chr11		89	14-			-
	MOGAT2	75724000		-0.584016	CTD-2530H12.4,CTD-2530H12.5,CTD-2530H12.7,CTD-2530H12.8,MAP6,MOGAT2,SERPINH1		75533001	chr11		183		1-		-
		76225000	MOGAT2	-0.531293	CTD-2011F17.2,CTD-2530H12.1,CTD-2530H12.2,DGAT2,MOGAT2,RF00019,RN7SL786P,RNA5SP344,RP11-263C24.1,RP11-263C24.2,RP11-263C24.3,RP11-535A19.1,RP11-535A19.2,RP11-619A14.2,RP11-619A14.3,UVRAG,WNT11		75724001	chr11		467	2+			-
		76280000		-0.669983			76225001	chr11		50				-
	RP11-672A2.5	76628000		-0.525314	EMSY,RF00019,RP11-111M22.2,RP11-111M22.3,RP11-111M22.4,RP11-111M22.5,RP11-672A2.5,RP11-672A2.6,RP11-672A2.7,THAP12		76280001	chr11		336		2+		-
	RP11-672A2.3	76680000	RP11-672A2.5	-0.631280	AP001189.4,LRRC32,RP11-672A2.3,RP11-672A2.4,RP11-672A2.5		76628001	chr11		50	1-	0-		-
		76736000	RP11-672A2.3	-0.633199	RP11-672A2.2,RP11-672A2.3		76680001	chr11		53	1+			-
	B3GNT6	77035000		-0.525014	ACER3,B3GNT6,CTD-2547H18.1,RP11-21L23.2,RP11-21L23.3,RP11-21L23.4,TSKU		76736001	chr11		279		0-		-
	MYO7A	77171000	B3GNT6	-0.548174	B3GNT6,CAPN5,MYO7A,OMP		77035001	chr11		125	1+	14-		-
	MYO7A	77210000	MYO7A	-0.548232	MYO7A		77171001	chr11		39	15+	43-		-
	KCTD14	78037000	MYO7A	-0.478908	AAMDC,AP000580.1,AP000609.2,AP000609.5,AQP11,CLNS1A,CTD-2313I10.1,CTD-2589O24.1,GDPD4,INTS4,KCTD14,MYO7A,NDUFC2-KCTD14,PAK1,RF00019,RNU7-59P,RP11-739B23.1,RP11-7I15.3,RP11-7I15.4,RP11-91P24.1,RP11-91P24.3,RP11-91P24.5,RP11-91P24.6,RP11-91P24.7,RSF1		77210001	chr11		755	44+	2+		-
		78644000	KCTD14	-0.441759	ALG8,GAB2,KCTD14,KCTD21,NARS2,NDUFC2,NDUFC2-KCTD14,RNU6-126P,RNU6-311P,RP11-452H21.1,RP11-452H21.2,RP11-452H21.4,RP11-705O3.1,RP11-843A23.1,RP11-843A23.2,THRSP,USP35		78037001	chr11		580	1-			-
	ODZ4	79014000		-0.718262	ODZ4,RP11-673F18.1		78644001	chr11		358		6+		-
	ODZ4	79060000	ODZ4	-0.700312	ODZ4		79014001	chr11		45	5-	6+		-
		79664000	ODZ4	-0.662748	CTD-2337I7.1,MIR5579,MIR708,ODZ4,RP11-258O13.1,RP11-802F5.1		79060001	chr11		584	5-			-
		79696000		-0.616898			79664001	chr11		32				-
		80582000		-0.590811	CTD-2555I5.1,RNU6-544P,RP11-683O4.1,RP11-885L14.1		79696001	chr11		855				-
		80671000		-0.649429	RP11-686G23.1		80584001	chr11		86				-
		80674000		-0.402741			80671001	chr11		3				-
		81165000		-0.624119	RP11-170L9.1,RP11-686G23.2		80674001	chr11		481				-
		81220000		-0.657171			81165001	chr11		54				-
		81526000		-0.661213			81220001	chr11		299				-
	PRCP	82829000		-0.584610	FAM181B,MIR4300,PRCP,RP11-179A16.1,RP11-179A16.2,RP11-664H7.1,RP11-664H7.2,RP11-718B12.1,RP11-718B12.2,RP11-742N3.1,RP11-876F14.1,RP11-876F14.2		81526001	chr11		1236		8+		-
	DLG2	83625000	PRCP	-0.533246	ANKRD42,CCDC90B,CTD-2240G15.1,DDIAS,DLG2,PCF11,PRCP,RAB30,RF01974,RP11-113K21.1,RP11-113K21.2,RP11-113K21.3,RP11-113K21.4,RP11-113K21.5,RP11-113K21.6,RP11-659G9.1,RP11-659G9.3,RP11-718B12.5,RP11-727A23.1,RP11-727A23.10,RP11-727A23.11,RP11-727A23.2,RP11-727A23.4,RP11-727A23.5,RP11-727A23.7,RP11-727A23.8,SNORA70E		82829001	chr11		762	7-	14+		-
	DLG2	83776000	DLG2	-0.638121	DLG2,RP11-160H12.2		83625001	chr11		150	13-	13+		-
	DLG2	83866000	DLG2	-0.567242	DLG2,RP11-160H12.1,RP11-160H12.3		83776001	chr11		90	12-	11+		-
	DLG2	83934000	DLG2	-0.689086	DLG2		83866001	chr11		64	10-	9+		-
	DLG2	85122000	DLG2	-0.571379	AP000857.1,AP000857.2,AP000857.3,CTD-2537O9.1,DLG2,RF02112,RF02113,RP11-851M3.1,RP11-851M3.2		83934001	chr11		1160	8-	5+		-
		87421000	DLG2	-0.524061	AP000654.4,AP000654.5,C11orf73,CCDC81,CCDC83,CCDC89,CREBZF,CTD-2005H7.1,CTD-2005H7.2,DLG2,EED,FNTAL1,FZD4,ME3,MIR6755,OR7E13P,OR7E2P,PICALM,PRSS23,RF00017,RN7SL225P,RNU6-1292P,RNU6-560P,RP11-12D16.2,RP11-317J19.1,RP11-320L11.2,RP11-482L11.1,RP11-648O15.1,RP11-648O15.2,RP11-680L20.1,RP11-700A24.1,RP11-736K20.1,RP11-736K20.4,RP11-736K20.5,RP11-736K20.6,RP11-762L8.1,RP11-762L8.4,RP11-762L8.6,RP11-777F6.2,RP11-777F6.3,RP11-878E11.1,RP11-882I15.1,RP11-90K17.2,SYTL2,TMEM126A,TMEM126B,TMEM135		85122001	chr11		2163	4-			-
		87462000		-0.628990			87421001	chr11		40				-
	GRM5	88866000		-0.570898	CTD-2028E8.1,CTD-2028E8.2,CTSC,GRM5,MIR3166,RAB38,RF00019,RF00026,RNU6-1135P,RNU6-16P,RP11-137O10.1,RP11-164N3.1,RP11-164N3.2,RP11-164N3.3,RP11-657K20.1,RP11-657K20.2,RP11-665E10.1,RP11-665E10.2,RP11-665E10.3,RP11-665E10.4,RP11-665E10.5,RP11-685B24.1,RP11-720D4.2,RP11-720D4.3		87462001	chr11		1324		1+		-
		89141000	GRM5	-0.838911	GRM5		88866001	chr11		255	0-			-
	FOLH1B	89695000		-0.725098	FOLH1B,NOX4,RP11-643G5.1,RP11-643G5.2,RP11-643G5.4,RP11-643G5.5,RP11-643G5.6,RP11-643G5.7,RP11-745I13.1,RP11-796A5.2,RP11-796A5.3,RP11-796A5.4,TYR		89141001	chr11		512		15-		-
		89705000	FOLH1B	-0.939044	FOLH1B,RP11-313I2.2,RP11-313I2.3		89695001	chr11		10	16+			-
		90114000		-0.977942	AP000648.3,AP000648.6,RP11-313I2.10,RP11-313I2.11,RP11-313I2.13,RP11-313I2.5,RP11-313I2.6,RP11-313I2.7,RP11-313I2.8,RP11-358N4.3,RP11-358N4.5,RP11-358N4.6,RP11-529A4.1,RP11-529A4.10,RP11-529A4.11,RP11-529A4.12,RP11-529A4.14,RP11-529A4.15,RP11-529A4.16,RP11-529A4.2,RP11-529A4.4,RP11-529A4.5,RP11-529A4.7,RP11-529A4.9,RP11-716D19.1,RP11-81M19.1,RP11-81M19.3,TRIM49,TRIM49D1,TRIM49D2,TRIM49L2,TRIM51BP,TRIM53,TRIM53B,TRIM64,TRIM64B,TRIM77,UBTFL1,UBTFL2		89705001	chr11		71				-
	RP11-660M18.2	90635000		-0.569089	AP000648.4,AP000648.5,CHORDC1,MIR4490,NAALAD2,RF00275,RP11-121L10.2,RP11-121L10.3,RP11-660M18.2		90114001	chr11		495		1-		-
	RP11-660M18.2	90660000	RP11-660M18.2	-0.583415	RP11-660M18.2		90635001	chr11		24	2+	1-		-
		90923000	RP11-660M18.2	-0.609931	MIR1261,RP11-660M18.1,RP11-660M18.2		90660001	chr11		252	2+			-
		91222000		-0.571442	RP11-678K21.1,RP11-678K21.2,RP11-678K21.3,RP11-699F16.1,RP11-699F16.2,RP11-699F16.3,RP11-739P6.1,RP11-739P6.2		90924001	chr11		276				-
		91517000		-0.601546	RP11-843F11.1		91222001	chr11		282				-
		93132000		-0.624903	FAT3,MTNR1B,NDUFB11P1,RP11-183A22.3,RP11-201M22.1,RP11-203F8.1,RP11-675M1.1,RP11-675M1.2,RP11-676F20.1,RP11-676F20.2,RP11-676F20.3,RP11-676F20.4,RP11-806N19.1,RP11-806N19.2,RPL26P31,RPL7AP57,RPS3AP42		91517001	chr11		1544				-
	VSTM5	93844000		-0.575717	C11orf54,CCDC67,CEP295,MED17,MIR1304,RF00019,RF00493,RF00494,RN7SL223P,RP11-178H8.1,RP11-178H8.2,RP11-178H8.3,RP11-178H8.7,RP11-288E14.2,RP11-573M3.2,RP11-573M3.3,RP11-573M3.4,RP11-573M3.5,RP11-573M3.6,RP11-606E8.2,RP11-755E23.2,RP11-755E23.3,SCARNA9,SLC36A4,SMCO4,SNORA1,SNORA18,SNORA25,SNORA32,SNORA40,SNORA8,SNORD5,SNORD6,TAF1D,VSTM5		93132001	chr11		662		1+		-
		94230000	VSTM5	-0.581158	HEPHL1,HPRTP3,HPRTP4,PANX1,RP11-680H20.1,RP11-715G18.3,VSTM5		93845001	chr11		360	0-			-
	RP11-680H20.2	94242000		-1.794657	RP11-680H20.2		94230001	chr11		9		0-		-
	ENDOD1	95102000	RP11-680H20.2	-0.569566	AMOTL1,ANKRD49,C11orf97,CWC15,ENDOD1,FUT4,GPR83,IZUMO1R,KDM4D,KDM4E,MIR548L,MRE11A,PIWIL4,RP11-60C6.3,RP11-60C6.5,RP11-60C6.6,RP11-60C6.8,RP11-680H20.2,RP11-685N10.1,RP11-735A19.2,RP11-735A19.3,RP11-856F16.2,RP11-867G2.4,RP11-867G2.5,RP11-867G2.6,RP11-867G2.8,SRSF8,ST13P11		94242001	chr11		831	1+	0-		-
	ENDOD1	95120000	ENDOD1	-0.377382	ENDOD1		95102001	chr11		18	1+	0-		-
	RP11-712B9.2	95154000	ENDOD1	-0.560096	ENDOD1,RP11-712B9.2,RP11-712B9.4,RP11-712B9.5		95120001	chr11		33	1+	0-		-
		95382000	RP11-712B9.2	-0.587150	RP11-712B9.2,RP11-712B9.6,SESN3		95154001	chr11		219	1+			-
		95477000		-0.525002			95382001	chr11		84				-
		95503000		-0.541775	RP11-338H14.1		95477001	chr11		25				-
	MTMR2	95866000		-0.569325	CEP57,CTD-2564P9.3,FAM76B,MTMR2,RNA5SP345,RP11-644L4.1		95503001	chr11		347		2+		-
	MTMR2	95883000	MTMR2	-0.449016	MTMR2		95866001	chr11		17	1-	2+		-
	MAML2	96159000	MTMR2	-0.499932	MAML2,MTMR2,RP11-697H10.1		95883001	chr11		264	1-	1+		-
	MAML2	96183000	MAML2	-0.547300	MAML2		96159001	chr11		24	0-	1+		-
	RP11-882G5.1	97254000	MAML2	-0.583322	AP000725.1,CCDC82,JRKL,MAML2,MIR1260B,RNA5SP346,RP11-360K13.1,RP11-360K13.2,RP11-49K4.1,RP11-49K4.2,RP11-693I21.1,RP11-882G5.1		96183001	chr11		1017	0-	2+		-
		97305000	RP11-882G5.1	-0.614419	RP11-882G5.1		97254001	chr11		48	1-			-
		100572000		-0.587309	CNTN5,CTD-2342I9.1,RN7SKP53,RNA5SP347,RP11-115E19.1,RP11-379J13.1,RP11-379J13.2,RP11-49M9.2,RP11-684B20.1,RP11-99C10.1		97305001	chr11		3101				-
		100627000		-0.407488			100572001	chr11		54				-
	ARHGAP42	100702000		-0.457952	AP000620.1,ARHGAP42,CTD-2383M3.1,RN7SL222P		100627001	chr11		63		0-		-
		102341000	ARHGAP42	-0.550373	ANGPTL5,ARHGAP42,BIRC3,C11orf70,CEP126,MIR3920,PGR,RN7SKP115,RNA5SP535,RNU6-952P,RP11-732A21.2,RP11-732A21.3,RP11-748H22.1,RP11-748H22.2,RP11-788M5.3,RP11-788M5.4,RP11-864G5.1,RP11-864G5.3,RP11-864G5.7,RP11-864G5.8,TRPC6,YAP1		100702001	chr11		1568	1+			-
	RP11-315O6.2	102498000		-0.480991	BIRC2,RP11-315O6.1,RP11-315O6.2,TMEM123		102341001	chr11		148		1-		-
		102548000	RP11-315O6.2	-0.485961	MMP7,RP11-315O6.2		102498001	chr11		50	2+			-
		102630000		-0.679905	MMP20,RP11-817J15.2		102548001	chr11		81				-
		102970000		-0.596551	AP000619.5,AP000619.6,AP000647.3,MMP1,MMP10,MMP12,MMP13,MMP27,MMP3,MMP8,RNU7-159P,RP11-690D19.4,RP11-725K16.2,RP11-725K16.4,RP11-817J15.3		102631001	chr11		321				-
	DCUN1D5	103065000		-0.549732	DCUN1D5,RP11-690D19.1,RP11-690D19.3		102970001	chr11		90		3+		-
		103484000	DCUN1D5	-0.586673	DCUN1D5,DYNC2H1,RP11-37O16.1,RP11-37O16.2,RP11-37O16.3,RP11-37O16.4,RP11-37O16.6,RP11-37O16.7,RP11-37O16.8		103065001	chr11		409	2-			-
		103545000		-0.605243			103484001	chr11		58				-
	PDGFD	104090000		-0.635104	DDI1,MIR4693,PDGFD,RP11-563P16.1,RP11-617B3.2		103545001	chr11		528		1+		-
		104348000	PDGFD	-0.580037	MIR7641-1,PDGFD		104090001	chr11		244	0-			-
		104668000		-0.601466	RP11-886D15.1		104348001	chr11		303				-
	CASP5	104999000		-0.497609	CASP12,CASP4,CASP5,RP11-681H10.1,RP11-693N9.1,RP11-693N9.2,RP11-886D15.5		104668001	chr11		316		6+		-
	CARD16	105050000	CASP5	-0.616726	CARD16,CASP1,CASP5		104999001	chr11		44	6-	1+		-
	GRIA4	105643000	CARD16	-0.567713	CARD16,CARD17,CARD18,GRIA4,OR2AL1P,RF00017,RP11-886D15.2,RP11-886D15.4,RP11-94P11.3,RP11-94P11.4		105050001	chr11		566	0-	1-		-
	GRIA4	105873000	GRIA4	-0.623702	AP000641.1,GRIA4,RNU4-55P		105643001	chr11		222	2+	3-		-
	KBTBD3	106057000	GRIA4	-0.593354	GRIA4,KBTBD3,MSANTD4,RNU6-277P		105873001	chr11		182	4+	2+		-
		106384000	KBTBD3	-0.623812	AASDHPPT,KBTBD3,RP11-677I18.3,RP11-677I18.4,RP11-680E19.1,RP11-680E19.2		106057001	chr11		316	1-			-
		106392000		-0.467916			106384001	chr11		7				-
		106418000		-0.596235			106392001	chr11		26				-
		107752000		-0.567247	ALKBH8,AP000766.2,AP000889.1,AP000889.2,CTD-2355J17.2,CTD-2651C21.3,CWF19L2,ELMOD1,GUCY1A2,RP11-382M14.1,RP11-819C21.1,RP11-819M15.1,RP11-819M15.2,SLN		106418001	chr11		1269				-
	SLC35F2	107909000		-0.360000	RP11-832N8.1,SLC35F2		107752001	chr11		145		1+		-
	SLC35F2	107920000	SLC35F2	-1.609755	SLC35F2		107909001	chr11		10	0-	1+		-
	RP11-262A12.1	109764000	SLC35F2	-0.518605	ACAT1,ATM,C11orf65,C11orf87,CUL5,CYCSP29,DDX10,EXPH5,KDELC2,NPAT,RAB39A,RF00019,RF00157,RNA5SP349,RNU6-654P,RP11-10A7.1,RP11-144G7.2,RP11-25I9.2,RP11-25I9.3,RP11-262A12.1,RP11-386B1.1,RP11-708B6.2,RP11-801G16.2,RPS2P39,SLC35F2		107920001	chr11		1727	0-	4+		-
		109994000	RP11-262A12.1	-0.601924	RP11-262A12.1,RP11-361A21.1,RP11-361A21.3,TFAMP2		109764001	chr11		217	3-			-
	ZC3H12C	110171000		-0.555898	RP11-344L21.1,ZC3H12C		109995001	chr11		173		4-		-
		110346000	ZC3H12C	-0.478309	RDX,ZC3H12C		110171001	chr11		158	4+			-
		110794000		-0.559938	AC009294.1,ARHGAP20,FDX1,RP11-347E10.1		110346001	chr11		428				-
		110871000		-0.647309			110795001	chr11		75				-
		110962000		-0.609477	RP11-97I14.1		110871001	chr11		86				-
	BTG4	111471000		-0.610054	BTG4,C11orf53,COLCA1,COLCA2,MIR4491,POU2AF1,RNA5SP350,RNU2-60P,RP11-794P6.1,RP11-794P6.2,RP11-89C3.1,RP11-89C3.2,RP11-89C3.3,RP11-89C3.4		110962001	chr11		477		5+		-
		112956000	BTG4	-0.551136	ALG9,AP000925.2,AP002884.2,BCO2,BTG4,C11orf1,C11orf52,C11orf57,C11orf88,CRYAB,DIXDC1,DLAT,FDXACB1,GNG5P3,HSPB2,HSPB2-C11orf52,IL18,LAYN,MIR34B,MIR34C,MRPS36P4,PIH1D2,PLET1,PPIHP1,PPP2R1B,PTS,RF00477,RN7SKP273,RNA5SP351,RNU6-44P,RNU6-893P,RP11-108O10.2,RP11-108O10.4,RP11-108O10.8,RP11-27G22.1,RP11-356J5.11,RP11-356J5.12,RP11-356J5.13,RP11-356J5.4,RP11-356J5.5,RP11-65M17.1,RP11-65M17.3,RP11-708L7.6,RP11-708L7.7,RP11-708L7.9,RP11-794P6.2,RP11-794P6.6,RPL23AP62,RPL37AP8,RPS12P21,RPS6P16,SDHD,SIK2,TEX12,TIMM8B		111471001	chr11		1409	4-			-
	NCAM1	113193000		-0.587995	NCAM1,RNU7-187P,RP11-629G13.1		112956001	chr11		223		0-		-
	TTC12	113339000	NCAM1	-0.618967	NCAM1,RP11-839D17.2,RP11-839D17.3,TTC12		113193001	chr11		144	1+	8-		-
	TTC12	113353000	TTC12	-0.833179	TTC12		113339001	chr11		14	9+	15-		-
		113582000	TTC12	-0.677041	ANKK1,DRD2,MIR4301,RP11-159N11.3,RP11-159N11.4,TTC12		113353001	chr11		222	16+			-
	HTR3A	113985000		-0.540520	CLDN25,HTR3A,HTR3B,RNU6-1107P,RP11-627G1.1,RP11-667M19.1,RP11-667M19.10,RP11-667M19.2,RP11-667M19.4,RP11-667M19.5,RP11-667M19.6,RP11-667M19.7,RP11-667M19.9,TMPRSS5,USP28,ZW10		113582001	chr11		372		4-		-
	NXPE4	114574000	HTR3A	-0.594323	C11orf71,HTR3A,NNMT,NXPE1,NXPE4,RBM7,REXO2,RF01210,RP11-172C16.2,RP11-172C16.5,RP11-212D19.4,RP11-212D19.5,RP11-64D24.2,RP11-64D24.4,ZBTB16		113985001	chr11		565	5+	5+		-
		114597000	NXPE4	-0.674620	NXPE4,RP11-172C16.4		114574001	chr11		23	4-			-
		114642000		-1.291078			114597001	chr11		37				-
		114777000		-0.564029	NXPE2		114642001	chr11		131				-
		114818000		-0.662237			114777001	chr11		36				-
	CADM1	115337000		-0.644502	AP000462.3,CADM1,RF01293		114818001	chr11		495		1+		-
		115958000	CADM1	-0.605725	AP000462.1,AP000462.2,AP000462.3,AP000797.1,AP000797.2,AP000797.3,AP000797.4,AP000997.1,AP000997.2,AP000997.3,CADM1,CTC-774J1.1,CTC-774J1.2,RF01210,RP11-136I14.2,RP11-136I14.3,RP11-136I14.4,RP11-136I14.5		115337001	chr11		596	0-			-
		116032000		-0.604438			115958001	chr11		71				-
		116184000		-0.700166			116032001	chr11		147				-
		116233000		-0.715610			116184001	chr11		46				-
		116370000		-0.663110			116233001	chr11		132				-
		116398000		-0.590104			116370001	chr11		28				-
		116461000		-0.657958			116398001	chr11		60				-
		116541000		-0.574120	AP001891.1		116461001	chr11		76				-
		116569000		-0.507321			116541001	chr11		28				-
	AP000770.1	116655000		-0.652627	AP000770.1,AP000770.2		116569001	chr11		75		1-		-
		116793000	AP000770.1	-0.542537	AP000770.1,AP006216.10,APOA5,BUD13,ZPR1		116655001	chr11		133	2+			-
	DSCAML1	117669000		-0.544751	AP000711.1,AP000892.4,AP000892.6,AP000892.8,AP000936.1,AP000936.4,AP000936.5,AP006216.12,AP006216.5,APOA1,APOA4,APOC3,BACE1,BACE1-AS,CEP164,CMB9-94B1.2,DSCAML1,PAFAH1B2,PCSK7,RF00564,RNF214,RNY4P6,RP11-109L13.1,RP11-109L13.5,RP11-35P15.1,RP11-87O6.1,SIDT2,SIK3,TAGLN		116793001	chr11		800		3+		-
	FXYD6	117838000	DSCAML1	-0.776993	DSCAML1,FXYD2,FXYD6,FXYD6-FXYD2,RP11-728F11.3,RP11-728F11.4		117669001	chr11		161	2-	7+		-
		117883000	FXYD6	-0.609673	FXYD6,FXYD6-FXYD2		117838001	chr11		43	7-			-
	SCN2B	118168000		-0.625614	IL10RA,RN7SL828P,RP11-652L8.2,SCN2B,SCN4B,TMPRSS13,TMPRSS4		117883001	chr11		274		3+		-
		118191000	SCN2B	-0.432643	SCN2B		118168001	chr11		23	2-			-
		118877000		-0.472194	AMICA1,AP002954.3,AP002954.4,AP002954.6,ARCN1,ATP5L,CD3D,CD3E,CD3G,DDX6,IFT46,KMT2A,MIR6716,MPZL2,MPZL3,PHLDB1,RF00019,RNU6-1157P,RNU6-376P,RP11-158I9.1,RP11-158I9.6,RP11-158I9.8,RP11-215H18.5,RP11-770J1.3,RP11-770J1.4,RP11-770J1.5,RP11-770J1.7,RP11-832A4.5,RP11-832A4.7,RPL5P30,TMEM25,TREH,TTC36,UBE4A		118191001	chr11		620				-
	SLC37A4	119029000		-0.489641	BCL9L,CCDC84,CXCR5,FOXR1,MIR3656,MIR4492,RF00017,RF00019,RN7SL688P,RP11-110I1.11,RP11-110I1.12,RP11-110I1.5,RP11-158I9.5,RPL23AP64,RPS25,SLC37A4,TRAPPC4,UPK2		118877001	chr11		132		3+		-
	HINFP	119130000	SLC37A4	-0.538700	C2CD2L,DPAGT1,H2AFX,HINFP,HMBS,HYOU1,RP11-110I1.13,RP11-110I1.14,RP11-110I1.6,SLC37A4,VPS11		119029001	chr11		98	2-	1-		-
		119578000	HINFP	-0.525174	ABCG4,C1QTNF5,CBL,CCDC153,DUXAP5,HINFP,MCAM,MFRP,MIR6756,NLRX1,PDZD3,RF01225,RNF26,RNU6-262P,RP11-305N23.1,RP11-334E6.10,RP11-334E6.12,RP11-334E6.2,RP11-334E6.3,RP11-334E6.4,THY1,USP2		119130001	chr11		410	2+			-
	NECTIN1	119647000		-0.594828	KRT8P7,NECTIN1,RP11-196E1.3		119578001	chr11		68		5+		-
	NECTIN1	119668000	NECTIN1	-0.611448	NECTIN1,RNU6-1123P,RP11-196E1.3		119647001	chr11		20	4-	5+		-
	RP11-831A10.1	120011000	NECTIN1	-0.716137	CTD-2523D13.1,CTD-2523D13.2,NECTIN1,RP11-215D10.1,RP11-831A10.1,RP11-831A10.2		119668001	chr11		335	4-	1+		-
		120029000	RP11-831A10.1	-0.775885	RP11-831A10.1		120011001	chr11		18	0-			-
	GRIK4	120519000		-0.609615	AP000679.2,ARHGEF12,GRIK4,OAF,POU2F3,RF00100,RP11-778O17.4,TMEM136,TRIM29		120029001	chr11		469		0-		-
	GRIK4	120645000	GRIK4	-0.617457	CTD-2528N2.1,GRIK4		120519001	chr11		121	1+	0-		-
	GRIK4	120789000	GRIK4	-0.637662	GRIK4		120645001	chr11		143	1+	2-		-
	GRIK4	120814000	GRIK4	-0.656384	GRIK4		120789001	chr11		24	3+	3-		-
		121961000	GRIK4	-0.606315	BMPR1APS2,CMB9-75A1.1,GRIK4,RP11-142I2.1,RP11-640N11.2,RP11-730K11.1,RP11-775A1.2,RPS4XP12,SC5D,SORL1,TBCEL,TCEB1P22,TECTA		120814001	chr11		1087	4+			-
	MIR100HG	122031000		-0.581341	MIR100HG,RNU6-256P		121961001	chr11		64		7+		-
		122625000	MIR100HG	-0.551955	BLID,GLULP3,MIR100,MIR100HG,MIR125B1,MIRLET7A2,RNU4ATAC10P,RNU4ATAC5P,RNU6-592P,RP11-266E8.2,RP11-716H6.1,RP11-716H6.2		122031001	chr11		572	6-			-
	CLMP	123159000		-0.475805	BSX,C11orf63,CLMP,CRTAM,HSPA8,RF01210,RNU4-23P,RP11-335F8.1,RP11-335F8.2,RP11-762B21.5,RPL31P47,RPL34P23,RPS26P43,SNORD14C,SNORD14D,SNORD14E,UBASH3B		122625001	chr11		489		1+		-
	CLMP	123188000	CLMP	-0.644014	CLMP		123159001	chr11		29	0-	1+		-
	CTD-2216M2.1	123223000	CLMP	-0.568603	CLMP,CTD-2216M2.1		123188001	chr11		34	0-	3-		-
		123304000	CTD-2216M2.1	-0.491477	CTD-2216M2.1,RF00096		123223001	chr11		76	4+			-
		123900000		-0.550988	GRAMD1B,MIR4493,OR6M1,OR6M2P,OR6M3P,OR6X1,RNU1-21P,RP11-109E10.1,RP11-109E10.2,RP11-634B22.4,SCN3B,SF3A3P2,TMEM225,ZNF202		123304001	chr11		572				-
		124096000		-0.630051	OR10D4P,OR10D5P,OR10G4,OR10G5P,OR10G6,OR10G7,OR10G8,OR10G9,OR10S1,OR4D5,OR6T1,OR8D4		123900001	chr11		188				-
		124585000		-0.613522	OR10D1P,OR10D3,OR10N1P,OR8A1,OR8A2P,OR8A3P,OR8B10P,OR8B12,OR8B1P,OR8B2,OR8B3,OR8B4,OR8B5P,OR8B6P,OR8B7P,OR8B8,OR8B9P,OR8C1P,OR8D1,OR8D2,OR8F1P,OR8G1,OR8G2P,OR8G3P,OR8G5,OR8G7P,OR8X1P,RP11-728D14.6,SLC5A4P1,VWA5A		124096001	chr11		453				-
	CHEK1	125628000		-0.554224	AP000708.1,CCDC15,CHEK1,EI24,ESAM,FEZ1,HEPACAM,HEPN1,MSANTD2,NRGN,OR8Q1P,PANX3,PKNOX2,RNA5SP352,RNU6-1156P,RNU6-321P,ROBO3,ROBO4,RP11-664I21.5,RP11-664I21.6,RP11-677M14.2,RP11-677M14.3,RP11-677M14.5,RP11-677M14.6,RP11-677M14.7,RP11-677M14.8,RP11-687M24.3,RP11-687M24.4,RP11-687M24.5,RP11-687M24.7,RP11-687M24.8,RP11-791J7.2,SIAE,SLC37A2,SPA17,STT3A,TBRG1,TMEM218,VSIG2		124585001	chr11		989		2-		-
		125689000	CHEK1	-0.381952	ACRV1,CHEK1,RNU2-35P		125628001	chr11		58	3+			-
	DDX25	125908000		-0.545017	DDX25,HYLS1,PATE1,PATE2,PATE3,PATE4,PUS3,RP11-680F20.10,RP11-680F20.9		125689001	chr11		202		3-		-
	RP11-680F20.9	125929000	DDX25	-0.616932	DDX25,RP11-680F20.9		125908001	chr11		21	4+	1+		-
		126104000	RP11-680F20.9	-0.544027	CDON,NAP1L1P1,RP11-673E11.2,RP11-680F20.4,RP11-680F20.6,RP11-680F20.9		125929001	chr11		171	0-			-
		126188000		-0.574959	RP11-50B3.1,RP11-50B3.2		126104001	chr11		81				-
